id	path	check_timeout_ms	run_kind	run_timeout_ms	stdout_path	stderr_path	platforms
01	examples/01-hello-world.hell	5000	exact	5000	expected/01.stdout	-	all
02	examples/02-interaction.hell	10000	check-only	0	-	-	all
03	examples/03-press-any-key.hell	10000	check-only	0	-	-	all
04	examples/04-writing-files.hell	10000	check-only	0	-	-	all
05	examples/05-lists.hell	10000	check-only	0	-	-	all
06	examples/06-polymorphism.hell	10000	check-only	0	-	-	all
07	examples/07-loops.hell	10000	check-only	0	-	-	all
08	examples/08-tuples.hell	10000	check-only	0	-	-	all
09	examples/09-processes.hell	10000	check-only	0	-	-	all
10	examples/10-current-directory.hell	10000	check-only	0	-	-	all
11	examples/11-env-vars.hell	10000	check-only	0	-	-	all
12	examples/12-fib.hell	10000	check-only	0	-	-	all
13	examples/13-concurrency.hell	10000	check-only	0	-	-	all
14	examples/14-text.hell	10000	check-only	0	-	-	all
15	examples/15-type-classes.hell	10000	check-only	0	-	-	all
16	examples/16-if.hell	10000	check-only	0	-	-	all
17	examples/17-reuse.hell	10000	check-only	0	-	-	all
18	examples/18-monads.hell	10000	check-only	0	-	-	all
19	examples/19-blog-generator.hell	10000	check-only	0	-	-	all
20	examples/20-dollar.hell	10000	check-only	0	-	-	all
21	examples/21-json.hell	10000	check-only	0	-	-	all
22	examples/22-records.hell	10000	check-only	0	-	-	all
23	examples/23-args.hell	10000	check-only	0	-	-	all
24	examples/24-exitcode.hell	10000	check-only	0	-	-	all
25	examples/25-sum-types.hell	10000	check-only	0	-	-	all
26	examples/26-reference-other-types.hell	10000	check-only	0	-	-	all
27	examples/27-discussion-64.hell	10000	check-only	0	-	-	all
28	examples/28-trees.hell	10000	check-only	0	-	-	all
29	examples/29-temp-files.hell	10000	check-only	0	-	-	all
30	examples/30-process-handlers.hell	10000	check-only	0	-	-	all
31	examples/31-open-file-handle.hell	10000	check-only	0	-	-	all
32	examples/32-optparse.hell	10000	check-only	0	-	-	all
33	examples/33-null-stream.hell	10000	check-only	0	-	-	all
34	examples/34-field-puns.hell	10000	check-only	0	-	-	all
35	examples/35-type-sigs.hell	10000	check-only	0	-	-	all
36	examples/36-these.hell	10000	check-only	0	-	-	all
37	examples/37-readshow.hell	10000	check-only	0	-	-	all
38	examples/38-integer.hell	10000	check-only	0	-	-	all
39	examples/39-day.hell	10000	check-only	0	-	-	all
40	examples/40-utctime.hell	10000	check-only	0	-	-	all
41	examples/41-commands.hell	10000	check-only	0	-	-	all
42	examples/42-primcase.hell	10000	check-only	0	-	-	all
43	examples/43-http.hell	10000	check-only	0	-	-	all
44	examples/44-char.hell	10000	check-only	0	-	-	all
